dg_id,dg_name,dg_atc_codes,dg_atc_levels
DB00001,Lepirudin,['B01AE02'],"[['B01AE', 'B01A', 'B01', 'B']]"
DB00002,Cetuximab,['L01FE01'],"[['L01FE', 'L01F', 'L01', 'L']]"
DB00003,Dornase alfa,['R05CB13'],"[['R05CB', 'R05C', 'R05', 'R']]"
DB00004,Denileukin diftitox,['L01XX29'],"[['L01XX', 'L01X', 'L01', 'L']]"
DB00005,Etanercept,['L04AB01'],"[['L04AB', 'L04A', 'L04', 'L']]"
DB00006,Bivalirudin,['B01AE06'],"[['B01AE', 'B01A', 'B01', 'B']]"
DB00007,Leuprolide,"['L02AE51', 'L02AE02']","[['L02AE', 'L02A', 'L02', 'L'], ['L02AE', 'L02A', 'L02', 'L']]"
DB00008,Peginterferon alfa-2a,"['L03AB11', 'L03AB61']","[['L03AB', 'L03A', 'L03', 'L'], ['L03AB', 'L03A', 'L03', 'L']]"
DB00009,Alteplase,"['B01AD02', 'S01XA13']","[['B01AD', 'B01A', 'B01', 'B'], ['S01XA', 'S01X', 'S01', 'S']]"
DB00010,Sermorelin,"['V04CD03', 'H01AC04']","[['V04CD', 'V04C', 'V04', 'V'], ['H01AC', 'H01A', 'H01', 'H']]"
DB00011,Interferon alfa-n1,['L03AB06'],"[['L03AB', 'L03A', 'L03', 'L']]"
DB00012,Darbepoetin alfa,['B03XA02'],"[['B03XA', 'B03X', 'B03', 'B']]"
DB00013,Urokinase,['B01AD04'],"[['B01AD', 'B01A', 'B01', 'B']]"
DB00014,Goserelin,['L02AE03'],"[['L02AE', 'L02A', 'L02', 'L']]"
DB00015,Reteplase,['B01AD07'],"[['B01AD', 'B01A', 'B01', 'B']]"
DB00016,Erythropoietin,['B03XA01'],"[['B03XA', 'B03X', 'B03', 'B']]"
DB00017,Salmon calcitonin,['H05BA01'],"[['H05BA', 'H05B', 'H05', 'H']]"
DB00019,Pegfilgrastim,['L03AA13'],"[['L03AA', 'L03A', 'L03', 'L']]"
DB00020,Sargramostim,['L03AA09'],"[['L03AA', 'L03A', 'L03', 'L']]"
DB00022,Peginterferon alfa-2b,"['L03AB10', 'L03AB60']","[['L03AB', 'L03A', 'L03', 'L'], ['L03AB', 'L03A', 'L03', 'L']]"
DB00023,Asparaginase Escherichia coli,['L01XX02'],"[['L01XX', 'L01X', 'L01', 'L']]"
DB00024,Thyrotropin alfa,['H01AB01'],"[['H01AB', 'H01A', 'H01', 'H']]"
DB00025,"Antihemophilic factor, human recombinant",['B02BD02'],"[['B02BD', 'B02B', 'B02', 'B']]"
DB00026,Anakinra,['L04AC03'],"[['L04AC', 'L04A', 'L04', 'L']]"
DB00029,Anistreplase,['B01AD03'],"[['B01AD', 'B01A', 'B01', 'B']]"
DB00030,Insulin human,"['A10AC01', 'A10AE01', 'A10AB01', 'A10AD01', 'A10AF01']","[['A10AC', 'A10A', 'A10', 'A'], ['A10AE', 'A10A', 'A10', 'A'], ['A10AB', 'A10A', 'A10', 'A'], ['A10AD', 'A10A', 'A10', 'A'], ['A10AF', 'A10A', 'A10', 'A']]"
DB00031,Tenecteplase,['B01AD11'],"[['B01AD', 'B01A', 'B01', 'B']]"
DB00032,Menotropins,"['G03GA02', 'G03GA03']","[['G03GA', 'G03G', 'G03', 'G'], ['G03GA', 'G03G', 'G03', 'G']]"
DB00034,Interferon alfa-2a,['L03AB04'],"[['L03AB', 'L03A', 'L03', 'L']]"
DB00035,Desmopressin,['H01BA02'],"[['H01BA', 'H01B', 'H01', 'H']]"
DB00036,Coagulation factor VIIa Recombinant Human,['B02BD08'],"[['B02BD', 'B02B', 'B02', 'B']]"
DB00038,Oprelvekin,['L03AC02'],"[['L03AC', 'L03A', 'L03', 'L']]"
DB00039,Palifermin,['V03AF08'],"[['V03AF', 'V03A', 'V03', 'V']]"
DB00040,Glucagon,['H04AA01'],"[['H04AA', 'H04A', 'H04', 'H']]"
DB00041,Aldesleukin,['L03AC01'],"[['L03AC', 'L03A', 'L03', 'L']]"
DB00042,Botulinum toxin type B,['M03AX01'],"[['M03AX', 'M03A', 'M03', 'M']]"
DB00043,Omalizumab,['R03DX05'],"[['R03DX', 'R03D', 'R03', 'R']]"
DB00044,Lutropin alfa,['G03GA07'],"[['G03GA', 'G03G', 'G03', 'G']]"
DB00046,Insulin lispro,"['A10AC04', 'A10AB04', 'A10AD04']","[['A10AC', 'A10A', 'A10', 'A'], ['A10AB', 'A10A', 'A10', 'A'], ['A10AD', 'A10A', 'A10', 'A']]"
DB00047,Insulin glargine,"['A10AE54', 'A10AE04']","[['A10AE', 'A10A', 'A10', 'A'], ['A10AE', 'A10A', 'A10', 'A']]"
DB00048,Collagenase clostridium histolyticum,"['D03BA02', 'M09AB02', 'D03BA52']","[['D03BA', 'D03B', 'D03', 'D'], ['M09AB', 'M09A', 'M09', 'M'], ['D03BA', 'D03B', 'D03', 'D']]"
DB00049,Rasburicase,"['V03AF07', 'M04AX01']","[['V03AF', 'V03A', 'V03', 'V'], ['M04AX', 'M04A', 'M04', 'M']]"
DB00050,Cetrorelix,['H01CC02'],"[['H01CC', 'H01C', 'H01', 'H']]"
DB00051,Adalimumab,['L04AB04'],"[['L04AB', 'L04A', 'L04', 'L']]"
DB00052,Somatotropin,['H01AC01'],"[['H01AC', 'H01A', 'H01', 'H']]"
DB00053,Imiglucerase,['A16AB02'],"[['A16AB', 'A16A', 'A16', 'A']]"
DB00054,Abciximab,['B01AC13'],"[['B01AC', 'B01A', 'B01', 'B']]"
DB00055,Drotrecogin alfa,['B01AD10'],"[['B01AD', 'B01A', 'B01', 'B']]"
DB00056,Gemtuzumab ozogamicin,['L01FX02'],"[['L01FX', 'L01F', 'L01', 'L']]"
DB00057,Indium In-111 satumomab pendetide,['V09IB02'],"[['V09IB', 'V09I', 'V09', 'V']]"
DB00058,Alpha-1-proteinase inhibitor,['B02AB02'],"[['B02AB', 'B02A', 'B02', 'B']]"
DB00059,Pegaspargase,['L01XX24'],"[['L01XX', 'L01X', 'L01', 'L']]"
DB00060,Interferon beta-1a,['L03AB07'],"[['L03AB', 'L03A', 'L03', 'L']]"
DB00061,Pegademase,['L03AX04'],"[['L03AX', 'L03A', 'L03', 'L']]"
DB00062,Albumin human,['B05AA01'],"[['B05AA', 'B05A', 'B05', 'B']]"
DB00063,Eptifibatide,['B01AC16'],"[['B01AC', 'B01A', 'B01', 'B']]"
DB00065,Infliximab,['L04AB02'],"[['L04AB', 'L04A', 'L04', 'L']]"
DB00066,Follitropin,"['G03GA06', 'G03GA10', 'G03GA05']","[['G03GA', 'G03G', 'G03', 'G'], ['G03GA', 'G03G', 'G03', 'G'], ['G03GA', 'G03G', 'G03', 'G']]"
DB00068,Interferon beta-1b,['L03AB08'],"[['L03AB', 'L03A', 'L03', 'L']]"
DB00069,Interferon alfacon-1,['L03AB09'],"[['L03AB', 'L03A', 'L03', 'L']]"
DB00071,Insulin pork,"['A10AC03', 'A10AB03', 'A10AE03', 'A10AD03']","[['A10AC', 'A10A', 'A10', 'A'], ['A10AB', 'A10A', 'A10', 'A'], ['A10AE', 'A10A', 'A10', 'A'], ['A10AD', 'A10A', 'A10', 'A']]"
DB00072,Trastuzumab,"['L01FD01', 'L01XY02']","[['L01FD', 'L01F', 'L01', 'L'], ['L01XY', 'L01X', 'L01', 'L']]"
DB00073,Rituximab,['L01FA01'],"[['L01FA', 'L01F', 'L01', 'L']]"
DB00074,Basiliximab,['L04AC02'],"[['L04AC', 'L04A', 'L04', 'L']]"
DB00075,Muromonab,['L04AA02'],"[['L04AA', 'L04A', 'L04', 'L']]"
DB00076,Digoxin Immune Fab (Ovine),['V03AB24'],"[['V03AB', 'V03A', 'V03', 'V']]"
DB00078,Ibritumomab tiuxetan,['V10XX02'],"[['V10XX', 'V10X', 'V10', 'V']]"
DB00081,Tositumomab,['V10XA53'],"[['V10XA', 'V10X', 'V10', 'V']]"
DB00082,Pegvisomant,['H01AX01'],"[['H01AX', 'H01A', 'H01', 'H']]"
DB00083,Botulinum toxin type A,['M03AX01'],"[['M03AX', 'M03A', 'M03', 'M']]"
DB00085,Pancrelipase,['A09AA02'],"[['A09AA', 'A09A', 'A09', 'A']]"
DB00086,Streptokinase,"['B01AD01', 'B06AA55']","[['B01AD', 'B01A', 'B01', 'B'], ['B06AA', 'B06A', 'B06', 'B']]"
DB00087,Alemtuzumab,['L04AA34'],"[['L04AA', 'L04A', 'L04', 'L']]"
DB00088,Alglucerase,['A16AB01'],"[['A16AB', 'A16A', 'A16', 'A']]"
DB00089,Capromab pendetide,['V09IB04'],"[['V09IB', 'V09I', 'V09', 'V']]"
DB00090,Laronidase,['A16AB05'],"[['A16AB', 'A16A', 'A16', 'A']]"
DB00091,Cyclosporine,"['L04AD01', 'S01XA18']","[['L04AD', 'L04A', 'L04', 'L'], ['S01XA', 'S01X', 'S01', 'S']]"
DB00092,Alefacept,['L04AA15'],"[['L04AA', 'L04A', 'L04', 'L']]"
DB00094,Urofollitropin,['G03GA04'],"[['G03GA', 'G03G', 'G03', 'G']]"
