dg_id,dg_name,dg_atc_codes,dg_atc_levels,kegg_cid
DB00007,Leuprolide,"['L02AE51', 'L02AE02']","[['L02AE', 'L02A', 'L02', 'L'], ['L02AE', 'L02A', 'L02', 'L']]",C07612
DB00017,Salmon calcitonin,['H05BA01'],"[['H05BA', 'H05B', 'H05', 'H']]",C06865
DB00035,Desmopressin,['H01BA02'],"[['H01BA', 'H01B', 'H01', 'H']]",C06944
DB00091,Cyclosporine,"['L04AD01', 'S01XA18']","[['L04AD', 'L04A', 'L04', 'L'], ['S01XA', 'S01X', 'S01', 'S']]",C05086
DB00104,Octreotide,['H01CB02'],"[['H01CB', 'H01C', 'H01', 'H']]",C07306
DB00107,Oxytocin,"['G02AC01', 'H01BB02']","[['G02AC', 'G02A', 'G02', 'G'], ['H01BB', 'H01B', 'H01', 'H']]",C00746
DB00114,Pyridoxal phosphate,['A11HA06'],"[['A11HA', 'A11H', 'A11', 'A']]",C00018
DB00115,Cyanocobalamin,"['B03BA01', 'B03AE01', 'B03BA51']","[['B03BA', 'B03B', 'B03', 'B'], ['B03AE', 'B03A', 'B03', 'B'], ['B03BA', 'B03B', 'B03', 'B']]",C02823
DB00118,Ademetionine,['A16AA02'],"[['A16AA', 'A16A', 'A16', 'A']]",C00019
DB00121,Biotin,['A11HA05'],"[['A11HA', 'A11H', 'A11', 'A']]",C00120
DB00123,Lysine,"['V03AF11', 'B05XB03']","[['V03AF', 'V03A', 'V03', 'V'], ['B05XB', 'B05X', 'B05', 'B']]",C00047
DB00125,Arginine,"['V03AF11', 'B05XB01']","[['V03AF', 'V03A', 'V03', 'V'], ['B05XB', 'B05X', 'B05', 'B']]",C00062
DB00126,Ascorbic acid,"['G01AD03', 'A11GA01', 'A11GB01', 'S01XA15']","[['G01AD', 'G01A', 'G01', 'G'], ['A11GA', 'A11G', 'A11', 'A'], ['A11GB', 'A11G', 'A11', 'A'], ['S01XA', 'S01X', 'S01', 'S']]",C00072
DB00129,Ornithine,['A05BA06'],"[['A05BA', 'A05B', 'A05', 'A']]",C00077
DB00130,L-Glutamine,['A16AA03'],"[['A16AA', 'A16A', 'A16', 'A']]",C00064
DB00134,Methionine,['V03AB26'],"[['V03AB', 'V03A', 'V03', 'V']]",C00073
DB00136,Calcitriol,"['D05AX03', 'A11CC04']","[['D05AX', 'D05A', 'D05', 'D'], ['A11CC', 'A11C', 'A11', 'A']]",C01673
DB00140,Riboflavin,"['A11HA04', 'S01XA26']","[['A11HA', 'A11H', 'A11', 'A'], ['S01XA', 'S01X', 'S01', 'S']]",C00255
DB00142,Glutamic acid,['A09AB01'],"[['A09AB', 'A09A', 'A09', 'A']]",C00025
DB00143,Glutathione,['V03AB32'],"[['V03AB', 'V03A', 'V03', 'V']]",C02471
DB00145,Glycine,['B05CX03'],"[['B05CX', 'B05C', 'B05', 'B']]",C00037
DB00146,Calcifediol,"['A11CC06', 'H05BX05']","[['A11CC', 'A11C', 'A11', 'A'], ['H05BX', 'H05B', 'H05', 'H']]",C01561
DB00150,Tryptophan,['N06AX02'],"[['N06AX', 'N06A', 'N06', 'N']]",C00078
DB00152,Thiamine,['A11DA01'],"[['A11DA', 'A11D', 'A11', 'A']]",C00378
DB00153,Ergocalciferol,['A11CC01'],"[['A11CC', 'A11C', 'A11', 'A']]",C05441
DB00158,Folic acid,"['B03AE02', 'B03AD04', 'V04CX02', 'B03AD01', 'B03BB51', 'B03AD03', 'B03BB01', 'B03AE01', 'B03AD05', 'B03AD02']","[['B03AE', 'B03A', 'B03', 'B'], ['B03AD', 'B03A', 'B03', 'B'], ['V04CX', 'V04C', 'V04', 'V'], ['B03AD', 'B03A', 'B03', 'B'], ['B03BB', 'B03B', 'B03', 'B'], ['B03AD', 'B03A', 'B03', 'B'], ['B03BB', 'B03B', 'B03', 'B'], ['B03AE', 'B03A', 'B03', 'B'], ['B03AD', 'B03A', 'B03', 'B'], ['B03AD', 'B03A', 'B03', 'B']]",C00504
DB00162,Vitamin A,"['S01XA02', 'V04CB01', 'D10AD02', 'R01AX02', 'A11CA01']","[['S01XA', 'S01X', 'S01', 'S'], ['V04CB', 'V04C', 'V04', 'V'], ['D10AD', 'D10A', 'D10', 'D'], ['R01AX', 'R01A', 'R01', 'R'], ['A11CA', 'A11C', 'A11', 'A']]",C17276
DB00165,Pyridoxine,"['J04AM08', 'A11HA02']","[['J04AM', 'J04A', 'J04', 'J'], ['A11HA', 'A11H', 'A11', 'A']]",C00314
DB00166,Lipoic acid,['A16AX01'],"[['A16AX', 'A16A', 'A16', 'A']]",C16241
DB00169,Cholecalciferol,"['M05BB09', 'M05BX53', 'M05BB07', 'M05BB08', 'A11CC55', 'M05BB05', 'A11CC05', 'M05BB03', 'M05BB04']","[['M05BB', 'M05B', 'M05', 'M'], ['M05BX', 'M05B', 'M05', 'M'], ['M05BB', 'M05B', 'M05', 'M'], ['M05BB', 'M05B', 'M05', 'M'], ['A11CC', 'A11C', 'A11', 'A'], ['M05BB', 'M05B', 'M05', 'M'], ['A11CC', 'A11C', 'A11', 'A'], ['M05BB', 'M05B', 'M05', 'M'], ['M05BB', 'M05B', 'M05', 'M']]",C05443
DB00170,Menadione,['B02BA02'],"[['B02BA', 'B02B', 'B02', 'B']]",C05377
DB00175,Pravastatin,"['C10AA03', 'C10BA11', 'C10BA03', 'C10BA12', 'C10BX02']","[['C10AA', 'C10A', 'C10', 'C'], ['C10BA', 'C10B', 'C10', 'C'], ['C10BA', 'C10B', 'C10', 'C'], ['C10BA', 'C10B', 'C10', 'C'], ['C10BX', 'C10B', 'C10', 'C']]",C01844
DB00176,Fluvoxamine,['N06AB08'],"[['N06AB', 'N06A', 'N06', 'N']]",C07571
DB00179,Masoprocol,['L01XX10'],"[['L01XX', 'L01X', 'L01', 'L']]",C10719
DB00180,Flunisolide,"['R01AD04', 'R03BA03']","[['R01AD', 'R01A', 'R01', 'R'], ['R03BA', 'R03B', 'R03', 'R']]",C07005
DB00182,Amphetamine,['N06BA01'],"[['N06BA', 'N06B', 'N06', 'N']]",C07514
DB00184,Nicotine,['N07BA01'],"[['N07BA', 'N07B', 'N07', 'N']]",C00745
DB00187,Esmolol,['C07AB09'],"[['C07AB', 'C07A', 'C07', 'C']]",C06980
DB00189,Ethchlorvynol,['N05CM08'],"[['N05CM', 'N05C', 'N05', 'N']]",C07833
DB00191,Phentermine,"['A08AA01', 'A08AA51']","[['A08AA', 'A08A', 'A08', 'A'], ['A08AA', 'A08A', 'A08', 'A']]",C07438
DB00193,Tramadol,"['N02AJ16', 'N02AJ13', 'N02AJ14', 'N02AX02']","[['N02AJ', 'N02A', 'N02', 'N'], ['N02AJ', 'N02A', 'N02', 'N'], ['N02AJ', 'N02A', 'N02', 'N'], ['N02AX', 'N02A', 'N02', 'N']]",C07153
DB00195,Betaxolol,"['S01ED02', 'C07AB05', 'S01ED52']","[['S01ED', 'S01E', 'S01', 'S'], ['C07AB', 'C07A', 'C07', 'C'], ['S01ED', 'S01E', 'S01', 'S']]",C06849
